"Service Name","Retail Price","Duration","Extra Time","Tax","Description","Category Name","Treatment Type","Resource","Online Booking","Available For","Voucher Sales","Commissions","Service ID","SKU"
"Yearly Refresher ","250.00","1h 30m","","No tax","Refresh your look and bring your brows back to life with our yearly refresher. This service ensures your microblading remains vibrant and beautifully defined, perfectly framing your face and enhancing your natural beauty. Experience the rejuvenation your brows deserve.","MICROBLADING CONSULTATION","Microblading","Not required","Enabled","Everyone","Enabled","Enabled","24306331",""
"Microblading Fine Line, Shade, or Powder","350.00","2h","","No tax","Discover the elegance of perfectly sculpted brows with our microblading service. Tailor your look by selecting from fine line, shade, or powder techniques that enhance your natural beauty. Our personalized artistry aligns with your unique style and facial shape. During your consultation, we'll review your health history and contraindications, ensuring every detail is in place. Together, we will map out your desired shape and color, apply topical numbing, and begin the procedure. Your comfort is our top priority throughout the entire process. Experience a beautiful transformation at Hello Gorgeous Med Spa.","MICROBLADING CONSULTATION","Microblading","Not required","Enabled","Everyone","Enabled","Enabled","24306323",""
"MICROBLADING CONSULTATION  - Free","0.00","15m","","No tax","","MICROBLADING CONSULTATION","Microblading","Not required","Enabled","Everyone","Enabled","Enabled","24192311",""
"Professional Brazilian Laser Hair Removal ","499.00","30m","","No tax","✨ Brazilian Laser Hair Removal — 3 Month Package
April · May · June — all three sessions included
💰 Only $499 for all 3 months
🎁 Book by end of March — get a FREE small area added to every session (underarms, lip, chin, bikini line — your choice)
🔁 Not fully removed after 3 sessions? We'll do a FREE touch-up. Period.
We use medical-grade laser technology with full clinical oversight — not a spa laser, a real Class 4 medical device. Your results are backed by our NP on site every single day.
Summer is literally around the corner. Stop shaving. Stop waxing. Let's get you smooth for good.","Spring Specials","Laser Hair Removal","Not required","Enabled","Everyone","Enabled","Enabled","23510317",""
"The Dani, Fix Me Facial","1500.00","1h","","No tax","The Dani, Fix Me Trifecta
IPL + Morpheus8 + CO2 Resurfacing

This is not a basic facial. This is the Hello Gorgeous anti-aging correction plan.

The Dani, Fix Me Trifecta is designed for clients who are concerned with aging skin, sun damage, pigmentation, fine lines, wrinkles, texture, pores, crepey skin, and skin laxity. Instead of guessing which treatment to book, Hello Gorgeous creates a corrective 3-visit plan using IPL, Morpheus8, and CO2 resurfacing.

This package targets aging from three directions:

IPL helps improve the look of sun damage, brown spots, redness, and uneven tone.
Morpheus8 helps support collagen remodeling, skin tightening, pores, texture, and laxity.
CO2 resurfacing helps improve wrinkles, rough texture, crepey skin, acne scarring, and overall resurfacing.

This treatment is best for clients who want visible correction, not just a glow.

","InMode Advanced Face & Body Resurfacing","Microneedling","Not required","Enabled","Everyone","Enabled","Enabled","24580540",""
"Quantum RF Lipo Neck ","2499.00","1h","","No tax","QUANTUM RF — Minimally Invasive Radiofrequency Skin 
Tightening & Body Contouring

Quantum RF is one of InMode's most powerful treatments — 
a minimally invasive procedure that delivers fractionated 
bipolar radiofrequency energy directly beneath the skin 
through ultra-thin micro-cannula probes. This is not a 
surface treatment. RF energy is delivered to the deep 
dermis, fibroseptal network, and subdermal tissue — 
producing results that surface devices simply cannot reach.

HOW IT WORKS
A small cannula is inserted beneath the skin under local 
anesthesia. Fractionated RF energy heats tissue to a 
precise therapeutic temperature — immediately contracting 
collagen fibers while triggering your body's natural 
wound-healing response. This stimulates new collagen and 
elastin production that continues building for up to 
6 months post-treatment.

Quantum RF also targets localized fat deposits — gently 
heating and breaking down adipose tissue for a more 
sculpted, contoured result.
","InMode Advanced Face & Body Resurfacing","Fat Dissolving Injections","Not required","Enabled","Everyone","Enabled","Enabled","23761205",""
"Quantum RF Lipo Neck  - Knees ","2499.00","1h","","No tax","QUANTUM RF — Minimally Invasive Radiofrequency Skin 
Tightening & Body Contouring

Quantum RF is one of InMode's most powerful treatments — 
a minimally invasive procedure that delivers fractionated 
bipolar radiofrequency energy directly beneath the skin 
through ultra-thin micro-cannula probes. This is not a 
surface treatment. RF energy is delivered to the deep 
dermis, fibroseptal network, and subdermal tissue — 
producing results that surface devices simply cannot reach.

HOW IT WORKS
A small cannula is inserted beneath the skin under local 
anesthesia. Fractionated RF energy heats tissue to a 
precise therapeutic temperature — immediately contracting 
collagen fibers while triggering your body's natural 
wound-healing response. This stimulates new collagen and 
elastin production that continues building for up to 
6 months post-treatment.

Quantum RF also targets localized fat deposits — gently 
heating and breaking down adipose tissue for a more 
sculpted, contoured result.
","InMode Advanced Face & Body Resurfacing","Fat Dissolving Injections","Not required","Enabled","Everyone","Enabled","Enabled","23761205",""
"Quantum RF Lipo Neck  - Arms ","2499.00","1h","","No tax","QUANTUM RF — Minimally Invasive Radiofrequency Skin 
Tightening & Body Contouring

Quantum RF is one of InMode's most powerful treatments — 
a minimally invasive procedure that delivers fractionated 
bipolar radiofrequency energy directly beneath the skin 
through ultra-thin micro-cannula probes. This is not a 
surface treatment. RF energy is delivered to the deep 
dermis, fibroseptal network, and subdermal tissue — 
producing results that surface devices simply cannot reach.

HOW IT WORKS
A small cannula is inserted beneath the skin under local 
anesthesia. Fractionated RF energy heats tissue to a 
precise therapeutic temperature — immediately contracting 
collagen fibers while triggering your body's natural 
wound-healing response. This stimulates new collagen and 
elastin production that continues building for up to 
6 months post-treatment.

Quantum RF also targets localized fat deposits — gently 
heating and breaking down adipose tissue for a more 
sculpted, contoured result.
","InMode Advanced Face & Body Resurfacing","Fat Dissolving Injections","Not required","Enabled","Everyone","Enabled","Enabled","23761205",""
"Quantum RF Lipo Neck  - Abdomen ","3999.00","1h","","No tax","QUANTUM RF — Minimally Invasive Radiofrequency Skin 
Tightening & Body Contouring

Quantum RF is one of InMode's most powerful treatments — 
a minimally invasive procedure that delivers fractionated 
bipolar radiofrequency energy directly beneath the skin 
through ultra-thin micro-cannula probes. This is not a 
surface treatment. RF energy is delivered to the deep 
dermis, fibroseptal network, and subdermal tissue — 
producing results that surface devices simply cannot reach.

HOW IT WORKS
A small cannula is inserted beneath the skin under local 
anesthesia. Fractionated RF energy heats tissue to a 
precise therapeutic temperature — immediately contracting 
collagen fibers while triggering your body's natural 
wound-healing response. This stimulates new collagen and 
elastin production that continues building for up to 
6 months post-treatment.

Quantum RF also targets localized fat deposits — gently 
heating and breaking down adipose tissue for a more 
sculpted, contoured result.
","InMode Advanced Face & Body Resurfacing","Fat Dissolving Injections","Not required","Enabled","Everyone","Enabled","Enabled","23761205",""
"Morpheus8 + CO₂ Combo ($1,499) — MOST POPULAR","1499.00","1h","","No tax","Transform your skin with a powerful combination of advanced treatments designed to rejuvenate and enhance your natural beauty. Experience the synergy of Morpheus8 and CO₂ for an ultimate refresh, leaving you with a radiant, youthful complexion

.Morpheus8 Burst for deep collagen remodeling plus Solaria CO₂ for surface correction. Two layers of treatment, one plan. Only 20 VIP Model spots at $1,499.""

","InMode Advanced Face & Body Resurfacing","TUG Breast Reconstruction","Not required","Enabled","Everyone","Enabled","Enabled","23429505",""
